NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
25.0,Ben Simmons,G-F,6-10,240,1996-07-20,AU,3,LSU
12.0,Tobias Harris,F,6-8,226,1992-07-15,US,9,Tennessee
31.0,Seth Curry,G,6-2,185,1990-08-23,US,6,"Liberty, Duke"
18.0,Shake Milton,G,6-5,205,1996-09-26,US,2,SMU
39.0,Dwight Howard,C,6-10,265,1985-12-08,US,16,
1.0,Mike Scott,F,6-7,237,1988-07-16,US,8,Virginia
30.0,Furkan Korkmaz,G,6-7,202,1997-07-24,TR,3,
0.0,Tyrese Maxey,G,6-3,198,2000-11-04,US,R,Kentucky
14.0,Danny Green,G-F,6-6,215,1987-06-22,US,11,UNC
22.0,Matisse Thybulle,G,6-5,201,1997-03-04,US,1,Washington
21.0,Joel Embiid,C,7-0,280,1994-03-16,CM,4,Kansas
33.0,Dakota Mathias (TW),G,6-4,197,1995-07-11,US,R,Purdue
11.0,Tony Bradley,F-C,6-10,248,1998-01-08,US,3,UNC
7.0,Isaiah Joe,G,6-5,180,1999-07-02,US,R,Arkansas
23.0,Terrance Ferguson,G-F,6-6,190,1998-05-17,US,3,
,Justin Anderson,G,6-6,230,1993-11-19,US,5,Virginia
,Paul Reed (TW),F,6-9,220,1999-06-14,US,R,DePaul
,Vincent Poirier,C,7-0,235,1993-10-17,FR,1,
