PLAYER,POS,AGE,TEAM,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,SEASON
Tony Bradley,F-C,23,PHI,1,17,13.4,.269,.000,.143,26.3,25.7,26.0,8.6,0.0,9.4,0.0,18.6,,0.0,0.0,0.0,.045,,,,,,2020-21
Seth Curry,G,30,PHI,3,87,17.0,.716,.609,.348,0.0,6.3,3.2,19.1,1.6,0.0,10.2,14.4,,0.3,0.1,0.4,.212,,,,,,2020-21
Joel Embiid,C,26,PHI,2,65,30.5,.636,.135,.432,10.3,30.2,20.4,12.5,0.7,2.5,8.3,31.4,,0.3,0.1,0.4,.287,,,,,,2020-21
Terrance Ferguson,G-F,22,PHI,1,7,-9.2,.000,1.000,.000,0.0,0.0,0.0,17.9,0.0,0.0,0.0,12.2,,0.0,0.0,0.0,-0.208,,,,,,2020-21
Danny Green,G-F,33,PHI,3,64,8.8,.403,.786,.143,3.5,10.2,6.9,12.7,4.5,1.3,16.8,11.9,,0.0,0.1,0.1,.061,,,,,,2020-21
Tobias Harris,F,28,PHI,3,90,16.1,.531,.405,.216,7.4,19.4,13.5,12.3,1.6,2.7,11.0,21.5,,0.1,0.2,0.2,.127,,,,,,2020-21
Dwight Howard,C,35,PHI,3,44,21.3,.768,.000,.231,17.8,29.8,23.8,8.0,1.1,3.6,25.9,18.7,,0.1,0.1,0.2,.202,,,,,,2020-21
Isaiah Joe,G,21,PHI,1,7,19.3,.500,.500,.000,0.0,15.6,7.9,21.8,6.8,0.0,0.0,12.2,,0.0,0.0,0.0,.200,,,,,,2020-21
Furkan Korkmaz,G,23,PHI,3,55,0.8,.362,.667,.083,0.0,11.9,6.0,7.9,1.7,2.9,19.4,23.9,,-0.3,0.1,-0.2,-0.151,,,,,,2020-21
Dakota Mathias,G,25,PHI,1,7,41.7,.667,.667,.000,0.0,15.6,7.9,77.2,0.0,0.0,0.0,36.5,,0.1,0.0,0.1,.483,,,,,,2020-21
Tyrese Maxey,G,20,PHI,3,41,6.5,.389,.167,.000,2.7,8.0,5.4,23.3,1.2,0.0,14.3,21.8,,-0.1,0.0,0.0,-0.057,,,,,,2020-21
Shake Milton,G,24,PHI,3,75,11.9,.586,.360,.440,0.0,4.4,2.2,10.4,1.9,0.0,11.8,19.2,,0.1,0.1,0.2,.103,,,,,,2020-21
Mike Scott,F,32,PHI,3,52,7.3,.533,.938,.125,4.3,10.5,7.4,0.0,1.8,0.0,15.1,16.3,,0.0,0.1,0.0,.030,,,,,,2020-21
Ben Simmons,G-F,24,PHI,3,94,19.5,.601,.000,.724,2.4,25.5,14.1,29.3,2.5,6.0,25.4,23.2,,0.0,0.2,0.3,.128,,,,,,2020-21
Matisse Thybulle,G,23,PHI,3,15,-0.6,.000,1.000,.000,0.0,7.3,3.7,0.0,3.2,0.0,0.0,2.8,,0.0,0.0,0.0,.006,,,,,,2020-21
