PLAYER,POS,AGE,TEAM,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SEASON
Tony Bradley,F-C,23,PHI,1,0,17.0,2.0,7.0,.286,0.0,0.0,,2.0,7.0,.286,.286,0.0,1.0,.000,4.0,4.0,8.0,1.0,0.0,2.0,0.0,2.0,4.0,2020-21
Seth Curry,G,30,PHI,3,3,29.0,4.0,7.7,.522,2.0,4.7,.429,2.0,3.0,.667,.652,2.7,2.7,1.000,0.0,1.7,1.7,3.7,1.0,0.0,1.0,2.0,12.7,2020-21
Joel Embiid,C,26,PHI,2,2,32.5,10.0,18.5,.541,1.5,2.5,.600,8.5,16.0,.531,.581,6.5,8.0,.813,3.0,9.0,12.0,2.0,0.5,1.0,2.0,3.0,28.0,2020-21
Terrance Ferguson,G-F,22,PHI,1,0,7.0,0.0,2.0,.000,0.0,2.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2020-21
Danny Green,G-F,33,PHI,3,3,21.3,1.3,4.7,.286,0.7,3.7,.182,0.7,1.0,.667,.357,0.7,0.7,1.000,0.7,2.0,2.7,2.0,2.0,0.3,1.0,1.7,4.0,2020-21
Tobias Harris,F,28,PHI,3,3,30.0,5.0,12.3,.405,2.0,5.0,.400,3.0,7.3,.409,.486,2.3,2.7,.875,2.0,5.3,7.3,2.3,1.0,1.0,1.7,2.3,14.3,2020-21
Dwight Howard,C,35,PHI,3,1,14.7,3.3,4.3,.769,0.0,0.0,,3.3,4.3,.769,.769,0.7,1.0,.667,2.3,4.0,6.3,0.7,0.3,0.7,1.7,3.7,7.3,2020-21
Isaiah Joe,G,21,PHI,1,0,7.0,1.0,2.0,.500,0.0,1.0,.000,1.0,1.0,1.000,.500,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2020-21
Furkan Korkmaz,G,23,PHI,3,0,18.3,2.0,8.0,.250,1.3,5.3,.250,0.7,2.7,.250,.333,0.7,0.7,1.000,0.0,2.0,2.0,1.0,0.7,0.7,2.0,0.7,6.0,2020-21
Dakota Mathias,G,25,PHI,1,0,7.0,3.0,6.0,.500,2.0,4.0,.500,1.0,2.0,.500,.667,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,8.0,2020-21
Tyrese Maxey,G,20,PHI,3,0,13.7,2.3,6.0,.389,0.0,1.0,.000,2.3,5.0,.467,.389,0.0,0.0,,0.3,1.0,1.3,2.0,0.3,0.0,1.0,0.3,4.7,2020-21
Shake Milton,G,24,PHI,3,0,25.0,4.0,8.3,.480,1.0,3.0,.333,3.0,5.3,.563,.540,2.7,3.7,.727,0.0,1.0,1.0,1.7,1.0,0.0,1.3,2.7,11.7,2020-21
Mike Scott,F,32,PHI,3,0,17.3,2.0,5.3,.375,1.7,5.0,.333,0.3,0.3,1.000,.531,0.3,0.7,.500,0.7,1.7,2.3,0.0,0.7,0.0,1.0,1.0,6.0,2020-21
Ben Simmons,G-F,24,PHI,3,3,31.3,5.7,9.7,.586,0.0,0.0,,5.7,9.7,.586,.586,4.0,7.0,.571,0.7,7.3,8.0,5.7,1.7,2.3,4.3,3.0,15.3,2020-21
Matisse Thybulle,G,23,PHI,3,0,5.0,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.3,0.3,0.0,0.3,0.0,0.0,0.7,0.0,2020-21
